prekesId,pavadinimas,kaina,kiekis,tipas
1,Cladribine,93.15,145,Elektronika
2,Short/Giant Ragweed Mixture,22.77,152,Chemija
3,Stye Symptom Formula,64.49,6,Chemija
4,risperidone,35.73,97,Chemija
5,Triamcinolone Acetonide,9.56,75,Maistas
6,Lyrica,80.01,90,Maistas
7,Lamotrigine,57.38,60,Elektronika
8,Baclofen,37.68,40,Elektronika
9,EQUALINE,10.11,54,Elektronika
10,Meloxicam,54.33,77,Chemija
11,sunmark ibuprofen,97.72,53,Maistas
12,Viratrol,47.24,61,Elektronika
13,Terazosin,84.95,87,Chemija
14,Cherry,17.15,1,Elektronika
15,Non-Drowsy Sinus Daytime,60.39,111,Elektronika
16,California Live Oak,69.2,36,Maistas
17,Ciprofloxacin,85.93,42,Maistas
18,Sunmark womans laxative,62.48,151,Elektronika
19,Nifedipine,19.21,131,Elektronika
20,Mosquito,56.85,150,Chemija
21,Alcohol swab,26.7,159,Elektronika
22,Asper-Flex,18.16,129,Elektronika
23,SOLMATE,26.78,20,Elektronika
24,Pain Relief PM,28.54,33,Chemija
25,Dorzolamide Hydrochloride,26.58,152,Elektronika
26,No7 Stay Perfect Foundation Sunscreen SPF 15 Truffle,99.65,9,Elektronika
27,Clindamycin hydrochloride,24.76,153,Chemija
28,METFORMIN HYDROCHLORIDE,12.81,86,Elektronika
29,ACTIFIRM RECOVERY,63.86,93,Elektronika
30,Atorvastatin Calcium,24.23,91,Maistas
31,Amlodipine besylate,94.68,142,Maistas
32,Chinese Elm,69.72,32,Chemija
33,Aveeno Eczema Therapy Moisturizing,57.76,73,Chemija
34,Methocarbamol,49.86,87,Chemija
35,Perrigo Seb Prev,40.4,107,Maistas
36,Quinapril,81.67,50,Maistas
37,Polvos de Sulpha,95.5,83,Chemija
38,Alendronate Sodium,5.37,56,Elektronika
39,Cyclobenzaprine Hydrochloride,76.79,61,Chemija
40,RESTORIL,87.05,82,Maistas
41,Mucinex Sinus-Max,98.03,51,Elektronika
42,All Day Allergy Relief,14.24,138,Maistas
43,Argentum Nitricum,19.41,53,Elektronika
44,Panache,73.75,82,Maistas
45,ALOE ICE,72.68,127,Elektronika
46,REFRESH CELLUVISC,94.77,147,Elektronika
47,American Elm,58.71,54,Elektronika
48,Cromolyn Sodium,62.18,3,Elektronika
49,XtraCare Antifungal Foot,67.77,33,Maistas
50,Metoprolol Tartrate,52.85,35,Chemija
51,Cinnamic Acid,99.51,116,Elektronika
52,Diltiazem Hydrochloride,14.58,102,Chemija
53,LBEL Couleur luxe rouge irresistible maximum hydration SPF 17,37.8,60,Chemija
54,EZ Nite Sleep,89.97,118,Maistas
55,Methazolamide,49.11,41,Maistas
56,Ecoderm,39.69,87,Chemija
57,Irbesartan and Hydrochlorothiazide,17.86,2,Elektronika
58,Aspergillus flavus,81.94,58,Chemija
59,ATORVASTATIN CALCIUM,68.73,31,Maistas
60,Treatment Set TS349778,39.15,30,Chemija
61,Amoxicillin and Clavulanate Potassium,13.16,96,Elektronika
62,good neighbor pharmacy loratadine,9.06,121,Maistas
63,Carbamazepine,20.21,66,Chemija
64,Real Deal Foundation,80.29,72,Elektronika
65,Rite Aid Renewal Gold Deodorant,99.45,156,Elektronika
66,Olanzapine,95.42,43,Chemija
67,Smart Sense Acid Reducer,7.42,101,Maistas
68,GLIMEPIRIDE,35.19,90,Maistas
69,ANTIBACTERIAL,1.15,157,Maistas
70,Gemfibrozil,33.81,4,Maistas
71,Gentak,97.53,122,Chemija
72,Our Family,48.11,73,Elektronika
73,Donepezil Hydrochloride,62.45,38,Chemija
74,Ponderosa Pine,23.87,27,Chemija
75,MEDI-SULTING TOPICAL PAIN RELIEF,33.53,79,Maistas
76,Antispetic,56.1,85,Elektronika
77,Ibuprofen,12.28,126,Elektronika
78,Musk Marine,25.07,71,Elektronika
79,Botanics Complexion Refining Day Moisture Lotion Sunscreen SPF 12,71.98,65,Elektronika
80,CLARINS Broad Spectrum SPF 15 Sunscreen Care For Outdoor Sports,3.01,24,Chemija
81,ReHydration,69.38,9,Chemija
82,Oxycodone hydrochloride and Ibuprofen,4.85,13,Maistas
83,Atenolol,97.47,37,Maistas
84,Potassium Chloride in Dextrose and Sodium Chloride,96.66,71,Maistas
85,Amoxicillan,22.56,92,Maistas
86,Privet,74.72,132,Elektronika
87,PredniSONE,84.06,89,Maistas
88,BYDUREON,14.83,146,Chemija
89,"Butalbital, Acetaminophen, and Caffeine",67.67,148,Chemija
90,lisinopril,10.56,158,Chemija
91,ArthriPain Relief,29.24,114,Elektronika
92,PROPOLIS 90 AMPOULE,9.13,96,Maistas
93,ESIKA 3-IN-1 PRO MAKE UP FOUNDATION SPF 20 BASE DE MAQUILLAJE PARA ROSTRO 3-EN-1 PRO FPS 20,89.39,78,Chemija
94,Pioglitazone Hydrochloride,97.84,5,Maistas
95,MiniDrops,7.31,66,Elektronika
96,English Plantain,79.72,36,Maistas
97,diltiazem hydrochloride,45.52,154,Maistas
98,Meloxicam,92.04,15,Elektronika
99,Protamine Sulfate,17.59,128,Elektronika
